,Product Title,Price,Image,Product URL,Site
0,Edifier H185P In-Ear Earphone - Black,Tk 650,https://www.bdshop.com/pub/media/catalog/product/cache/a762498fd6e92192d841c2d6c87195e8/e/d/edifier-h185p-in-ear-earphone-black-in-bd-at-bdshopcom.png,https://www.bdshop.com/edifier-h185p-in-ear-earphone-black,BD Shop
1,Edifier P275 In-Ear Earphone with Mic,Tk 950,https://www.bdshop.com/pub/media/catalog/product/cache/a762498fd6e92192d841c2d6c87195e8/1/_/edifier-p275-in-ear-earphone-with-mic-in-bd-at-bdshopcom.png,https://www.bdshop.com/edifier-p275-in-ear-earphone-with-mic,BD Shop
2,Remax RM-305M Black Metal Earphone,Tk 1000,https://www.bdshop.com/pub/media/catalog/product/cache/a762498fd6e92192d841c2d6c87195e8/r/e/remax_rm-305m_black_metal_earphone.jpg,https://www.bdshop.com/remax-rm-305m-earphone,BD Shop
3,Baseus NGH15-01 GAMO Wired Earphone H15 Black,Tk 1100,https://www.bdshop.com/pub/media/catalog/product/cache/a762498fd6e92192d841c2d6c87195e8/b/a/baseus-ngh15-01-gamo-wired-earphone-h15.jpg,https://www.bdshop.com/baseus-ngh15-01-wired-earphone,BD Shop
4,Baseus GAMO NGH15-91 In-ear Wired Red-Black Earphone,Tk 1100,https://www.bdshop.com/pub/media/catalog/product/cache/a762498fd6e92192d841c2d6c87195e8/u/n/baseus-gamo-ngh15-91-in-ear-wired-red-black-earphone-in-bd-at-bdshopcom.jpg,https://www.bdshop.com/baseus-gamo-ngh15-91-in-ear-wired-earphone,BD Shop
5,Havit GE05 Gaming Earphone for Type-C Device,Tk 1220,https://www.bdshop.com/pub/media/catalog/product/cache/a762498fd6e92192d841c2d6c87195e8/h/a/havit-ge05-gaming-earphone-for-type-c-device-in-bd-at-bdshopcom.jpg,https://www.bdshop.com/havit-ge05-gaming-earphone,BD Shop
6,OnePlus Bullets 2T Type-C Earphone,Tk 1600,https://www.bdshop.com/pub/media/catalog/product/cache/a762498fd6e92192d841c2d6c87195e8/o/n/oneplus_bullets_2t_type-c_earphone.jpg,https://www.bdshop.com/oneplus-bullets-2t-type-c-earphone,BD Shop
7,Havit TW901 True Black Wireless Sports Bluetooth Earphone,Tk 1900,https://www.bdshop.com/pub/media/catalog/product/cache/a762498fd6e92192d841c2d6c87195e8/i/v/havit-tw901-true-black-wireless-sports-bluetooth-earphone-in-bd-at-bdshopcom.jpeg,https://www.bdshop.com/havit-tw901-true-black-wireless-sports-bluetooth-earphone,BD Shop
8,Edifier GM3 SE 3.5mm Gaming Earphone,Tk 2490,https://www.bdshop.com/pub/media/catalog/product/cache/a762498fd6e92192d841c2d6c87195e8/e/d/edifier-gm3se-35mm-gaming-earphone-in-bd-at-bdshopcom.png,https://www.bdshop.com/edifier-gm3se-3-5mm-gaming-earphone,BD Shop
9,Edifier W23BT Black Bluetooth Earphone,Tk 4000,https://www.bdshop.com/pub/media/catalog/product/cache/a762498fd6e92192d841c2d6c87195e8/e/d/edifier-w23bt-black-bluetooth-earphone-in-bd-at-bdshopcom.png,https://www.bdshop.com/edifier-w23bt-black-bluetooth-earphone,BD Shop
10,Havit HAKII G1 Pro True Wireless Black-Red Earphone,Tk 5500,https://www.bdshop.com/pub/media/catalog/product/cache/a762498fd6e92192d841c2d6c87195e8/h/a/havit_hakii_g1pro_tws_bluetooth_earphone_.jpg,https://www.bdshop.com/havit-hakii-g1-pro-wireless-earphone,BD Shop
11,Havit HAKII Action H Series True Wireless Sport Earphone,Tk 6300,https://www.bdshop.com/pub/media/catalog/product/cache/a762498fd6e92192d841c2d6c87195e8/h/a/havit_hakii_action_h_series_true_wireless_sport_earphone.jpg,https://www.bdshop.com/havit-hakii-action-h-series-wireless-earphone,BD Shop
