,Product Title,Price,Image,Product URL,Site
0,AKG Earphones - Black,Tk 93,https://media.e-valy.com/cms/products/images/0c4bdd9e-7662-4688-a1da-92263ac51c97?h=250&w=250,https://evaly.com.bd/products/akg-earphones-black-463777,Evaly
1,Remax RW-106 Music In-Ear Earphone - Black,Tk 102,https://media.e-valy.com/cms/products/images/9444441b-d5a1-40c1-aca6-891148bb9c02?h=250&w=250,https://evaly.com.bd/products/remax-rw-106-in-ear-music-earphone-black-4223613,Evaly
2,Creative Ep-530 Earphone - Black,Tk 134,https://media.e-valy.com/cms/products/images/96253bd9-dbbf-4e07-b55e-494075f46af2?h=250&w=250,https://evaly.com.bd/products/creative-ep-530-earphone-black-4814793,Evaly
3,UiiSii C100 Stereo Earphone,Tk 168,https://media.e-valy.com/cms/products/images/6f161cf3-d2d8-47b2-8a3b-858247798e0d?h=250&w=250,https://evaly.com.bd/products/uiisii-c100-stereo-earphone-5088814,Evaly
4,Geeoo X10 Strong Bass Earphone,Tk 191,https://media.e-valy.com/cms/products/images/6002b29d-b968-45a8-9d99-568979880afc?h=250&w=250,https://evaly.com.bd/products/geeoo-x10-strong-bass-earphone-3396838,Evaly
5,UIISII UX Earphone with Mic - Black,Tk 231,https://media.e-valy.com/cms/products/images/f323f477-dc6f-412c-bcbc-1a57750ea822?h=250&w=250,https://evaly.com.bd/products/uiisii-ux-earphone-with-mic-black-538408,Evaly
6,Remax Rm-510 Earphones - Black,Tk 237,https://media.e-valy.com/cms/products/images/73ca5bee-8a5f-4298-a23c-23348e8f2090?h=250&w=250,https://evaly.com.bd/products/remax-rm-510-high-performance-earphones-black-2305844,Evaly
7,Remax Rm 510 Wired High Performance Earphones - Black,Tk 247,https://media.e-valy.com/cms/products/images/efd61c4f-c8e5-4400-9716-4bf75c53e112?h=250&w=250,https://evaly.com.bd/products/remax-rm-510-wired-high-performance-earphones-black-558174,Evaly
8,Lenovo QF-300 In-Ear Wired Earphone - Black,Tk 263,https://media.e-valy.com/cms/products/images/ccc15be1-3aef-470c-98b0-67e040b2364e?h=250&w=250,https://evaly.com.bd/products/lenovo-qf-300-in-ear-wired-earphone-black-6032396,Evaly
9,Uiisii Hm13 In-Ear Earphone With Headphone Pouch - Black,Tk 278,https://media.e-valy.com/cms/products/images/bdd9f4c3-7502-43f6-8ea6-5d4111967769?h=250&w=250,https://evaly.com.bd/products/uiisii-hm13-in-ear-earphone-with-headphone-pouch-black-8539849,Evaly
10,UiiSii HM13 Wired In -Ear Headphone - Black,Tk 288,https://media.e-valy.com/cms/products/images/39ad91f0-b983-4acc-b851-226f34fc92a3?h=250&w=250,https://evaly.com.bd/products/uiisii-hm13-wired-in-ear-headphone-black-2683819,Evaly
11,G2000 X120 Professional Gaming Earphones - Black,Tk 289,https://media.e-valy.com/cms/products/images/66d3179b-dfe1-42f3-bc18-f0bd5022c703?h=250&w=250,https://evaly.com.bd/products/g2000x120-professional-gaming-earphones-black-4961166,Evaly
12,QKZ DM10 Zinc Alloy HiFi Earphone In-Ear Earphone - Black ,Tk 297,https://media.e-valy.com/cms/products/images/a089ad48-1dea-471d-9e5d-499bac8a0759?h=250&w=250,https://evaly.com.bd/products/qkz-dm10-zinc-alloy-hifi-earphone-in-ear-earphone-black-4372418,Evaly
13,Lenovo HE05 Neckband Bluetooth Earphone - Black,Tk 299,https://media.e-valy.com/cms/products/images/7cc5e32f-ea25-49aa-bc08-577d53d84d6b?h=250&w=250,https://evaly.com.bd/products/lenovo-he05-neckband-bluetooth-earphone-black-1978590,Evaly
14,Dynamic Universal Wired Earphones - Black,Tk 305,https://media.e-valy.com/cms/products/images/0561257f-75ee-40b8-8e54-e30d9e5984ee?h=250&w=250,https://evaly.com.bd/products/dynamic-universal-wired-earphones-black-8307019,Evaly
15,UiiSii HM13 In-Ear Earphone - Black,Tk 315,https://media.e-valy.com/cms/products/images/a538678a-d246-4dcc-8725-ff399eb55164?h=250&w=250,https://evaly.com.bd/products/uiisii-hm13-in-ear-earphone-black-4437830,Evaly
16,UiiSii HM12 In-Ear Earphone - Black,Tk 315,https://media.e-valy.com/cms/products/images/37705f23-637e-464a-b706-dfd182a637bf?h=250&w=250,https://evaly.com.bd/products/uiisii-hm12-in-ear-earphone-black-8155202,Evaly
17,Lenovo HE05 Neckband Bluetooth Earphone - Black ,Tk 319,https://media.e-valy.com/cms/products/images/7dcbb78c-171c-42a2-a5b4-581dfd85aa43?h=250&w=250,https://evaly.com.bd/products/lenovo-he05-neckband-bluetooth-earphone-5659801,Evaly
18,Lenovo HE05X Magnetic Neckband Bluetooth Earphone,Tk 324,https://media.e-valy.com/cms/products/images/067de293-dcf7-48f8-858f-5f230f71450a?h=250&w=250,https://evaly.com.bd/products/lenovo-he05x-magnetic-neckband-bluetooth-earphone-3652934,Evaly
19,QKZ DM 10 Zinc Alloy Gaming Earphone - Black and Gray,Tk 330,https://media.e-valy.com/cms/products/images/bbc5b094-f4bb-491d-b092-014f4efae81c?h=250&w=250,https://evaly.com.bd/products/qkz-dm-10-zinc-alloy-gaming-earphone-black-and-gray-1374334,Evaly
20,Lenovo HE05X Magnetic Neckband Bluetooth Earphone,Tk 340,https://media.e-valy.com/cms/products/images/29791200-2232-4fca-95c7-c04f767a7a86?h=250&w=250,https://evaly.com.bd/products/lenovo-he05x-magnetic-neckband-bluetooth-earphone-8026543,Evaly
21,QKZ DM10 Wired Earphone - Black,Tk 345,https://media.e-valy.com/cms/products/images/bdab77a4-1f4a-49a4-ad41-28d1a557c573?h=250&w=250,https://evaly.com.bd/products/qkz-dm10-wired-earphone-black-5977740,Evaly
22,Lenovo HE05 Bluetooth Neckband Earphone - Black,Tk 361,https://media.e-valy.com/cms/products/images/8fe49eae-0f52-4f0c-ac3c-c07de8f0370b?h=250&w=250,https://evaly.com.bd/products/lenovo-he05-bluetooth-neckband-earphone-black-1728257,Evaly
23,Dm9 Earphone - Gray,Tk 361,https://media.e-valy.com/cms/products/images/8e9a5b2e-dfea-4f93-87f8-44ca29c90ecf?h=250&w=250,https://evaly.com.bd/products/dm9-earphone-gray-2485822,Evaly
24,Dm9 Earphone - Black,Tk 361,https://media.e-valy.com/cms/products/images/73a0b216-2d80-4ce6-8c26-d1041000921f?h=250&w=250,https://evaly.com.bd/products/dm9-earphone-black-2317776,Evaly
25,QKZ DM10 Type C Zinc Alloy Metal Earphone - Black,Tk 368,https://media.e-valy.com/cms/products/images/98dde2bf-513b-42a1-af7b-01cbf5086fea?h=250&w=250,https://evaly.com.bd/products/qkz-dm10-type-c-zinc-alloy-metal-earphone-black-8587302,Evaly
26,QKZ DM9 Zinc Alloy HiFi Metal In-Ear Earphones - Black,Tk 368,https://media.e-valy.com/cms/products/images/c1c4cc71-eeaf-4671-a5ba-27475318f9ef?h=250&w=250,https://evaly.com.bd/products/qkz-dm9-zinc-alloy-hifi-metal-in-ear-earphones-black-4083127,Evaly
27,QKZ DM10 Zinc Alloy Earphones - Black,Tk 378,https://media.e-valy.com/cms/products/images/685dd584-bdee-4f45-a668-7c8f621b6372?h=250&w=250,https://evaly.com.bd/products/qkz-dm10-zinc-alloy-earphones-black-2537188,Evaly
28,QKZ DM7 Zinc Alloy In Ear HiFi Earphone Stereo Bass Headset - Black ,Tk 399,https://media.e-valy.com/cms/products/images/d9c01a96-90d9-4518-8c99-94dcafbafb5c?h=250&w=250,https://evaly.com.bd/products/qkz-dm7-zinc-alloy-in-ear-hifi-earphone-stereo-bass-headset-black-6363184,Evaly
29,Redmi Hi-Res Audio Certified Earphones - Blue,Tk 403,https://media.e-valy.com/cms/products/images/02471dda-310d-4012-b1da-49fa6598530a?h=250&w=250,https://evaly.com.bd/products/redmi-hi-res-audio-certified-earphones-blue-4618281,Evaly
30,QKZ DM7 Zinc Alloy In-Ear Earphone - Gray,Tk 420,https://media.e-valy.com/cms/products/images/9d020fa1-4fb4-412d-9af5-61b7e959a369?h=250&w=250,https://evaly.com.bd/products/qkz-dm7-zinc-alloy-in-ear-earphone-gray-1124777,Evaly
31,Uiisii Hm13 In-Ear Dynamic Headset With Microphone - Black ,Tk 420,https://media.e-valy.com/cms/products/images/df713025-b2b8-4569-b347-c95b6d424433?h=250&w=250,https://evaly.com.bd/products/uiisii-hm13-in-ear-dynamic-headset-with-microphone-black-3750280,Evaly
32,F9 Bluetooth Earphone V5.0 TWS Wireless Earphone - Black,Tk 438,https://media.e-valy.com/cms/products/images/9402111a-550b-4c08-ad30-09b5bd9b0af8?h=250&w=250,https://evaly.com.bd/products/f9-bluetooth-earphone-v5.0-tws-wireless-earphone-black-7551920,Evaly
33,QKZ SK3 Wired Earphone HIFI HD Noise Reduction Earphone,Tk 454,https://media.e-valy.com/cms/products/images/18a2018e-9c98-4699-bd59-158c21d4d353?h=250&w=250,https://evaly.com.bd/products/qkz-sk3-wired-earphone-hifi-hd-noise-reduction-earphone-7155971,Evaly
34,QKZ CK9 Double Unit Drive In Ear Earphone - Black,Tk 479,https://media.e-valy.com/cms/products/images/972938d5-f5d9-40c2-9b80-7093449dbaf5?h=250&w=250,https://evaly.com.bd/products/qkz-ck9-double-unit-drive-in-ear-earphone-black-4465666,Evaly
35,Wiresto F9 Bluetooth Earphone TWS Wireless Earphone - Black,Tk 479,https://media.e-valy.com/cms/products/images/48e19709-d8e8-418f-9104-618c48809274?h=250&w=250,https://evaly.com.bd/products/f9-bluetooth-earphone-v5.0-tws-wireless-earphone-7417593,Evaly
36,M10 TWS 9D Stereo Led Digital Earphone,Tk 515,https://media.e-valy.com/cms/products/images/b136a3b7-4a13-410a-9e89-c936deaa5449?h=250&w=250,https://evaly.com.bd/products/m10-tws-9d-stereo-led-digital-earphone-4212573,Evaly
37,Lenovo HE06 Wireless Neckband Earphone - Black,Tk 556,https://media.e-valy.com/cms/products/images/713a8d23-d3ff-43a6-9496-29a6ce37c691?h=250&w=250,https://evaly.com.bd/products/lenovo-he06-wireless-neckband-earphone-black-9144206,Evaly
38,Baseus C17 Wired Headset Type-C Earphones - White,Tk 567,https://media.e-valy.com/cms/products/images/83f13006-b687-474c-83b4-e83c4aa0278d?h=250&w=250,https://evaly.com.bd/products/baseus-c17-wired-headset-type-c-earphones-white-9945053,Evaly
39,Wireless With LED Screen Digital Display Touch Control Sports Gaming Earphone M36 - Black,Tk 567,https://media.e-valy.com/cms/products/images/7d5a45f2-07f2-4887-9c23-04a18e97c09c?h=250&w=250,https://evaly.com.bd/products/wireless-with-led-screen-digital-display-touch-control-sports-gaming-earphone-m36-black-4631459,Evaly
40,Trn Mt1  Earphone - Gray,Tk 603,https://media.e-valy.com/cms/products/images/42ff093d-717f-41f2-8030-1572b8404c1e?h=250&w=250,https://evaly.com.bd/products/trn-mt1-earphone-gray-3649154,Evaly
41,JBL C100SI Wired In Ear Headphones with Mic - Black,Tk 618,https://media.e-valy.com/cms/products/images/4a324f69-ab35-41cd-8752-08d358face74?h=250&w=250,https://evaly.com.bd/products/jbl-c100si-wired-in-ear-headphones-with-mic-black-3659050,Evaly
42,M32 Sports Bluetooth Earphone - Black,Tk 618,https://media.e-valy.com/cms/products/images/e99ac23a-8e86-46ca-ad0a-71539e61f47c?h=250&w=250,https://evaly.com.bd/products/m32-blutooth-neck-sports-bluetooth-headphones-6697558,Evaly
43,TRN MT1 Dual Magnetic Dynamic Driver Earphone - Black,Tk 621,https://media.e-valy.com/cms/products/images/8b45c75d-16ad-417d-ba22-242b1f671f44?h=250&w=250,https://evaly.com.bd/products/trn-mt1-dual-magnetic-dynamic-driver-earphone-black-745498,Evaly
44,Rapoo EP28 Wired In-Ear Earphone - Red and Black,Tk 639,https://media.e-valy.com/cms/products/images/bd90d29e-2065-452b-9a5b-876bf9e9d51d?h=250&w=250,https://evaly.com.bd/products/rapoo-ep28-wired-in-ear-earphone-red-and-black-2392184,Evaly
45,TRN MT1 Hi-FI 1DD Dynamic In-Ear Earphone - Green,Tk 649,https://media.e-valy.com/cms/products/images/d0e73293-0f95-4f78-aa7f-363553c5d8d0?h=250&w=250,https://evaly.com.bd/products/trn-mt1-hi-fi-1dd-dynamic-in-ear-earphone-drive-hifi-bass-metal-monitor-running-sport-earphone-green-640756,Evaly
46,Lenovo HE08 Wireless In-Ear Neckband Earphones - Black,Tk 719,https://media.e-valy.com/cms/products/images/6ddc6d1f-cdb9-406c-b648-4d1840af7b4e?h=250&w=250,https://evaly.com.bd/products/lenovo-he08-wireless-in-ear-neckband-earphones-black-6419583,Evaly
47,Plextone G20 Gaming Earphone - Black,Tk 720,https://media.e-valy.com/cms/products/images/bb2b934b-9228-4253-a1b5-856a138fa8d5?h=250&w=250,https://evaly.com.bd/products/plextone-g20-gaming-earphone-black-1577736,Evaly
48,Remax RB -S1 Wireless Earphone - Black,Tk 721,https://media.e-valy.com/cms/products/images/2a46517f-78ba-47f3-9a93-4cf1c377f392?h=250&w=250,https://evaly.com.bd/products/remax-rb-s1-wireless-earphone-black-2264973,Evaly
49,UiiSii N13 Neck Mounted Bluetooth Earphone - Black,Tk 762,https://media.e-valy.com/cms/products/images/9b1e74d3-bcc7-4096-b936-c34cce959e16?h=250&w=250,https://evaly.com.bd/products/uiisii-n13-neck-mounted-bluetooth-earphone-black-3038426,Evaly
50,Plextone G25 Gaming Earphone - Black and Light Green,Tk 764,https://media.e-valy.com/cms/products/images/6c20ae0f-1350-4d58-ad17-ff6a1f411b2f?h=250&w=250,https://evaly.com.bd/products/plextone-g25-gaming-earphone-black-and-light-green-91214,Evaly
51,Plextone G25 Gaming Earphone - Black,Tk 771,https://media.e-valy.com/cms/products/images/685cb211-602d-4de8-8009-9a983d79d205?h=250&w=250,https://evaly.com.bd/products/plextone-g25-gaming-earphone-black-9505885,Evaly
52,Wavefun Flex U Dual Dynamic Speaker Wireless Neckband Earphone - Black,Tk 773,https://media.e-valy.com/cms/products/images/2a71e49e-bdbb-4de0-829d-9df391d3f62f?h=250&w=250,https://evaly.com.bd/products/wavefun-flex-u-dual-dynamic-speaker-wireless-neckband-earphone-black-5087535,Evaly
53,Xiaomi HSEJ04WM Piston Type -C Earphone - Black,Tk 773,https://media.e-valy.com/cms/products/images/e11d6679-d9bd-421c-8547-562905cba356?h=250&w=250,https://evaly.com.bd/products/xiaomi-hsej04wm-piston-type-c-earphone-black-1885811,Evaly
54,Trn Mt1 Pro Professional Hi-Fi Dynamic Earphones - Black,Tk 783,https://media.e-valy.com/cms/products/images/8761d1ee-e780-4ebd-8b42-0bff491f9837?h=250&w=250,https://evaly.com.bd/products/trn-mt1-pro-professional-hi-fi-dynamic-earphones-black-927855,Evaly
55,QKZ ZXT Headphones with Microphone,Tk 788,https://media.e-valy.com/cms/products/images/33ee2ef8-e3f4-462f-a698-526ebbb5b794?h=250&w=250,https://evaly.com.bd/products/qkz-zxt-headphones-with-microphone-2151642,Evaly
56,Baseus C17 Type-C Half In-Ear Wired Earphone - White,Tk 788,https://media.e-valy.com/cms/products/images/54e0fffb-e365-4073-8ea7-a1962eb5a5c4?h=250&w=250,https://evaly.com.bd/products/baseus-c17-type-c-half-in-ear-wired-earphone-white-1772306,Evaly
57,Awei A922BL Wireless Earphone - Black,Tk 823,https://media.e-valy.com/cms/products/images/189e015f-f87a-47c3-b759-d31dfe12b5e4?h=250&w=250,https://evaly.com.bd/products/awei-a922bl-wireless-earphone-black-4078323,Evaly
58,Awei A920BL Wireless Earphone - Black,Tk 823,https://media.e-valy.com/cms/products/images/1fe5d3c9-f339-4a3b-b3c7-dec2691d97be?h=250&w=250,https://evaly.com.bd/products/awei-a920bl-wireless-earphone-black-2079144,Evaly
59,Awei A925BL Wireless Earphone - Black,Tk 823,https://media.e-valy.com/cms/products/images/510b5824-134c-45ef-8583-bb9040f1ac48?h=250&w=250,https://evaly.com.bd/products/awei-a925bl-wireless-earphone-black-696249,Evaly
60,Awei A923BL Wireless Earphone - Silver,Tk 823,https://media.e-valy.com/cms/products/images/da2f7447-3bd3-4c5f-b6b6-7cac3b451aec?h=250&w=250,https://evaly.com.bd/products/awei-a923bl-wireless-earphone-silver-7076356,Evaly
61,Remax RB -S5 Wireless Earphone - Black,Tk 823,https://media.e-valy.com/cms/products/images/fe0fc96c-f3a0-4f78-a971-1940a1e09979?h=250&w=250,https://evaly.com.bd/products/remax-rb-s5-wireless-earphone-black-8518357,Evaly
62,Remax RB -S2 Wireless Earphone - Silver,Tk 823,https://media.e-valy.com/cms/products/images/05b1599a-484f-4d1e-a5ab-3552799d519a?h=250&w=250,https://evaly.com.bd/products/remax-rb-s2-wireless-earphone-silver-503654,Evaly
