,Product Title,Price,Image,Product URL,Site
0,Remax RW-106 Music In-Ear Earphone - Black,Tk 102,https://media.e-valy.com/cms/products/images/9444441b-d5a1-40c1-aca6-891148bb9c02?h=250&w=250,https://evaly.com.bd/products/remax-rw-106-in-ear-music-earphone-black-4223613,Evaly
1,Geeoo X10 Strong Bass Earphone,Tk 191,https://media.e-valy.com/cms/products/images/6002b29d-b968-45a8-9d99-568979880afc?h=250&w=250,https://evaly.com.bd/products/geeoo-x10-strong-bass-earphone-3396838,Evaly
2,Baseus CATOTG-01 OTG USB Female To Type C Male Adapter - Black,Tk 216,https://media.e-valy.com/cms/products/images/7c8a98e3-97e6-440d-97d2-4ec28e5cfa9d?h=250&w=250,https://evaly.com.bd/products/baseus-catotg-01-otg-usb-female-to-type-c-male-adapter-black-3917404,Evaly
3,Remax Rm-510 Earphones - Black,Tk 237,https://media.e-valy.com/cms/products/images/73ca5bee-8a5f-4298-a23c-23348e8f2090?h=250&w=250,https://evaly.com.bd/products/remax-rm-510-high-performance-earphones-black-2305844,Evaly
4,Baseus Red-Dot Trigger Mobile Phone Gaming Controller Tool For PUBG - Red and Black,Tk 256,https://media.e-valy.com/cms/products/images/9e659deb-b11a-4a88-84cd-33eae47d2583?h=250&w=250,https://evaly.com.bd/products/baseus-red-dot-trigger-mobile-phone-gaming-controller-tool-for-pubg-red-and-black-3056514,Evaly
5,Baseus Cafule Cable USB for Lightning 2.4A 1M (CALKLF -BG1) - Gray and Black,Tk 258,https://media.e-valy.com/cms/products/images/c353ff67-23f5-422f-bf0e-c00cf643b017?h=250&w=250,https://evaly.com.bd/products/baseus-cafule-cable-usb-for-lightning-2.4a-1m-(calklf-bg1)-gray-and-black-3765539,Evaly
6,Uiisii Hm13 In-Ear Earphone With Headphone Pouch - Black,Tk 278,https://media.e-valy.com/cms/products/images/bdd9f4c3-7502-43f6-8ea6-5d4111967769?h=250&w=250,https://evaly.com.bd/products/uiisii-hm13-in-ear-earphone-with-headphone-pouch-black-8539849,Evaly
7,UiiSii HM13 Wired In -Ear Headphone - Black,Tk 288,https://media.e-valy.com/cms/products/images/39ad91f0-b983-4acc-b851-226f34fc92a3?h=250&w=250,https://evaly.com.bd/products/uiisii-hm13-wired-in-ear-headphone-black-2683819,Evaly
8,Baseus Mini USB Female To Type -C Male OTG Adapter Converter - Black,Tk 288,https://media.e-valy.com/cms/products/images/37ba21b4-529f-4098-8d26-920c240d76cd?h=250&w=250,https://evaly.com.bd/products/baseus-mini-usb-female-to-type-c-male-otg-adapter-converter-black-5695561,Evaly
9,G2000 X120 Professional Gaming Earphones - Black,Tk 289,https://media.e-valy.com/cms/products/images/66d3179b-dfe1-42f3-bc18-f0bd5022c703?h=250&w=250,https://evaly.com.bd/products/g2000x120-professional-gaming-earphones-black-4961166,Evaly
